year,ndvi,evi,precipitacion,anomalia_temp,sequia,muertes_calor
2015,1.0,1.0,0.998635091177518,0.0,0.0,0.03580562659846547
2016,0.852994501149213,0.744037274780126,0.7358205218919881,0.3471538449967015,0.21311437943057043,0.0025575447570332483
2017,0.5596730812758356,0.5177337314309952,0.287795073217249,0.6185344287828022,0.05134743794403909,0.0
2018,0.6134399262384438,0.6203874823414907,1.0,0.08318526737366769,0.22894206040985596,0.028132992327365727
2019,0.6825263875663083,0.6262167297819135,0.3969482673061464,0.284815663721576,0.40371465229387055,0.043478260869565216
2020,0.4526291794590354,0.44742023410603726,0.20478417161793053,0.5781452204825104,0.3514829624725701,0.1969309462915601
2021,0.40970619634966343,0.4403774436495575,0.5706868161473491,0.21023887521795784,0.7642978624330174,0.11764705882352941
2022,0.0,0.0,0.00018468414909644505,0.06660897664385333,0.31516723911902433,0.08439897698209718
2023,0.19541545142768196,0.2070557262027254,0.0,1.0,1.0,1.0
2024,0.5501299974004916,0.376612442882558,0.2846307350650865,,,
