year,lat_label,fire_count
2015,14-17N,413.67378941996697
2015,17-19N,723.460326077733
2015,19-22N,470.6980916750899
2015,22-24N,118.51938519883075
2015,24-27N,192.30421527410454
2015,27-29N,183.63359990965694
2015,29-31N,440.7652395918439
2015,31-34N,462.08859749942957
2016,14-17N,412.9390884430215
2016,17-19N,715.8889641811326
2016,19-22N,528.7788930391606
2016,22-24N,201.2641383833887
2016,24-27N,267.1671027737286
2016,27-29N,279.16091962668884
2016,29-31N,514.6397010266585
2016,31-34N,514.708109164811
2017,14-17N,452.800042901836
2017,17-19N,849.8911038864208
2017,19-22N,633.3985762536715
2017,22-24N,244.3638002061708
2017,24-27N,376.85445509982173
2017,27-29N,370.0184972050913
2017,29-31N,622.6486813407251
2017,31-34N,659.8720187387238
2018,14-17N,438.9214579224296
2018,17-19N,814.2910740468365
2018,19-22N,581.9299884987357
2018,22-24N,229.4655675455773
2018,24-27N,330.17245855279845
2018,27-29N,356.17700439793435
2018,29-31N,678.5692072111186
2018,31-34N,682.9250435168117
2019,14-17N,528.883184632822
2019,17-19N,984.9274346075716
2019,19-22N,686.4614359984155
2019,22-24N,236.01990387595205
2019,24-27N,317.2691651397058
2019,27-29N,321.4178359178224
2019,29-31N,646.0113706490657
2019,31-34N,640.5927357507841
2020,14-17N,487.1625677060808
2020,17-19N,900.6617350880437
2020,19-22N,642.8432292831786
2020,22-24N,159.9419394691502
2020,24-27N,284.81312886364987
2020,27-29N,271.13210606548955
2020,29-31N,646.7632884405684
2020,31-34N,710.3519392959378
2021,14-17N,439.7976051898614
2021,17-19N,838.0547964241621
2021,19-22N,616.4819651050301
2021,22-24N,238.46813829414467
2021,24-27N,312.81595099117015
2021,27-29N,318.76870455754755
2021,29-31N,664.7868860404872
2021,31-34N,695.3088680631521
2022,14-17N,443.95926742706996
2022,17-19N,849.0083806417302
2022,19-22N,555.6850312856087
2022,22-24N,246.26746156246264
2022,24-27N,350.7444527748825
2022,27-29N,336.0251855955252
2022,29-31N,720.5694329390404
2022,31-34N,712.1463952838037
2023,14-17N,552.8588861834342
2023,17-19N,914.8114243026398
2023,19-22N,639.1315645626705
2023,22-24N,207.2071515179126
2023,24-27N,302.76292180587694
2023,27-29N,269.7387912905587
2023,29-31N,737.9826027957554
2023,31-34N,721.1104578333741
2024,14-17N,528.582416730647
2024,17-19N,989.750106781747
2024,19-22N,659.0654456867811
2024,22-24N,186.35856068565346
2024,24-27N,275.1272235041197
2024,27-29N,245.04889085295525
2024,29-31N,645.0307724083552
2024,31-34N,690.0534944638092
